SALES,ROCE,FFTL,GEAR,CLTA,CACL,QACL,WCTA,LAG,AGE,CHAUD,BIG6,FAIL
7646,31.2239,0.6312,0.5205,0.4829,1.6397,1.4935,0.3089,286,25,0,0,0
36067,10.9613,0.354,0.3786,0.3786,1.5852,1.1626,0.2216,301,33,0,1,0
16737,17.9949,0.4388,0.5236,0.4347,1.1748,0.9795,0.076,55,26,0,1,0
48162,6.1787,0.1181,0.9996,0.7437,1.3007,0.907,0.2236,303,34,0,0,1
6953,0.0648,0.1447,0.952,0.4976,1.041,0.5355,0.0204,362,14,1,1,1
3900,-2.684,0.1451,0.6925,0.6672,0.6086,0.4879,-0.2611,289,3,1,0,1
4168,-6.7091,0.0426,0.786,0.6715,1.2963,0.6288,0.199,298,57,0,0,0
38917,11.1326,0.1898,0.4019,0.1401,1.1728,1.0867,0.0242,241,14,1,1,0
3813,4.408,0.217,0.5398,0.4533,1.1907,0.8894,0.0864,168,27,0,1,0
4049,9.4607,0.2922,0.6316,0.5297,1.3874,0.8809,0.2052,136,18,0,0,0
6912,24.5325,0.3483,0.7866,0.7866,0.942,0.7063,-0.0457,212,39,0,1,0
2857,4.4519,0.1437,0.7228,0.5458,0.9225,0.6929,-0.0423,77,9,0,0,0
9433,6.3359,0.2667,0.4549,0.3983,1.5444,1.2766,0.2169,192,81,0,0,0
3691,4.0961,0.1781,0.7286,0.7034,1.1661,0.5598,0.1169,172,16,1,0,1
6398,-11.593,-0.0359,0.8613,0.7081,1.063,0.5592,0.0446,265,3,0,1,1
8604,-16.667,-0.0363,1.0139,1.0139,0.7485,0.5265,-0.255,301,90,0,0,1
17295,5.3741,0.1691,0.8813,0.7585,0.8556,0.5182,-0.1095,309,2,0,1,1
6762,7.5364,0.1545,0.6233,0.6233,1.5489,0.7356,0.3422,96,74,0,0,0
16149,-1.0712,0.0271,1.2218,1.2218,0.6236,0.3153,-0.4599,287,29,0,1,0
8086,15.2024,0.6163,0.3307,0.3307,2.3553,1.7513,0.4482,64,51,0,1,0
3340,-4.2769,0.0439,0.5763,0.56,0.8433,0.5173,-0.0877,243,17,1,0,1
5574,-0.4819,0.0866,0.8008,0.7772,0.7131,0.5667,-0.223,393,32,0,0,1
3055,-31.254,-0.2121,1.2343,1.2024,0.734,0.5056,-0.3199,360,2,0,0,1
5105,26.5006,0.4277,0.7005,0.7005,1.3217,1.2668,0.2254,296,2,0,1,1
11528,1.3275,0.066,0.7124,0.6377,0.9967,0.9438,-0.0021,295,40,0,0,1
24001,-9.2212,0.0051,0.876,0.2761,2.1925,1.0913,0.3293,303,25,0,1,0
4818,-8.8515,-0.0955,0.5081,0.5014,1.6034,1.3363,0.3025,302,28,0,1,0
3518,-2.9022,0.0249,0.7489,0.406,1.2253,0.9207,0.0915,421,36,1,1,0
29300,0.0745,0.0683,0.5977,0.4767,1.1994,0.7513,0.0951,233,25,0,0,1
2958,-9.4013,0.0145,1.4865,1.4865,0.4974,0.2847,-0.747,301,11,0,0,1
2978,8.5486,0.3285,0.3898,0.3883,2.0519,1.8493,0.4084,265,9,0,1,1
47237,-2.5559,0.0735,1.0072,0.8516,0.7437,0.4385,-0.2183,86,8,0,1,1
8070,13.9864,0.2122,0.9969,0.2986,2.0674,0.7283,0.3188,303,26,1,1,1
4718,-10.01,-0.0231,0.9967,0.5726,0.7646,0.4307,-0.1348,301,8,0,0,1
4028,-4.9692,0.0309,0.8171,0.7586,1.0696,0.927,0.0528,301,14,1,0,1
11362,-37.35,-0.0814,3.5336,0.6301,1.1944,1.164,0.1225,188,22,0,1,0
24261,9.0815,0.2643,0.5736,0.5072,1.3534,0.444,0.1792,268,25,0,0,0
47679,10.0875,0.2596,0.817,0.3999,1.6964,1.2495,0.2785,271,3,0,1,0
22461,2.637,0.1672,0.1212,0.1212,4.4465,3.3635,0.4176,197,90,0,0,0
8125,1.0502,0.1358,0.8098,0.7585,0.6738,0.4596,-0.2474,297,59,0,0,1
10339,4.4452,0.1176,0.7461,0.656,1.1399,0.6296,0.0918,144,19,0,0,1
27599,-5.9041,0.0519,0.7977,0.4824,0.8959,0.7514,-0.0502,295,21,0,0,1
3205,-1.979,-0.0103,0.3548,0.3548,1.8835,1.2034,0.3134,314,19,0,1,0
9819,33.8451,0.5326,0.7018,0.7018,1.1864,1.1762,0.1308,249,10,0,1,0
